corp_code,corp_name,corp_m,corp_w,corp_sales,corp_sm,corp_aug,corp_est,corp_sal,corp_add,corp_long,corp_lati,corp_wel,corp_ind,corp_ope
148540,CJ,0.7288135593220338,0.2711864406779661,35802669758000.0,59,10.25,2003년 12월 15일,313300487.0,"경기 성남시 분당구 서현로180번길 19, 3층",127.1224537,37.3873348,0.0,산업재,1808780685000.0
265324,CJ ENM,0.422756981580511,0.577243018419489,3911939444682.3335,3366,5.62,,79353832.0,서울 마포구 상암산로 66,126.891671,37.5784904,,경기소비재,3030927753.3333335
113410,CJ대한통운,0.8601794992914502,0.13982050070854984,11418497266690.666,6351,7.95,1930년 11월 15일,71623051.0,서울특별시 종로구 청진동 128,126.9805599,37.5706146,,산업재,360335071400.3333
635134,CJ제일제당,0.7221677292790584,0.27783227072094163,26871488847333.332,8156,6.61,,75183423.0,서울 중구 동호로 330,127.0033128,37.5638619,,필수소비재,1516229680666.6667
127954,CJ프레시웨이,0.289993626513703,0.710006373486297,2505884786263.6665,6276,5.63,,31536648.0,서울 마포구 월드컵북로 54길 25,126.8885494,37.5813263,,필수소비재,49974537699.0
160843,DB하이텍,0.5171736997055937,0.48282630029440626,1275296446776.0,2038,10.0,1953년 04월 28일,80341511.0,경기도 부천시 수도로 90,126.7772594,37.5140368,,IT,469062881785.0
109693,DL,0.7948717948717948,0.20512820512820512,3040793440871.3335,39,8.35,1956년 10월 17일,184615385.0,인천 남동구 미래로 14,126.7049916,37.4511317,2.0,소재,207218882823.66666
116949,DN오토모티브,0.8277634961439588,0.17223650385604114,1630075110386.0,1167,5.75,,42582195.0,경남 양산시 산막공단북11길 103,129.0660948,35.3700075,,경기소비재,193585088798.66666
500254,GS,0.7540983606557377,0.2459016393442623,21429415666666.668,61,4.4,1974년 07월 02일,112803279.0,서울 구로구 경인로 576,126.8814272,37.5033738,0.0,에너지,2866556333333.3335
120030,GS건설,0.8932449843548684,0.10675501564513161,10486234158335.0,5433,13.71,1969년 12월 19일,94468066.0,서울 종로구 종로 33,126.981785,37.5712649,4.0,산업재,9095417221328.0
140177,GS리테일,0.5118501529051988,0.48814984709480125,9893780869812.334,7848,6.7,1971년 02월 13일,54351937.0,서울 강남구 논현로 508,127.0376223,37.5021366,2.0,경기소비재,780738510.6666666
164636,HDC,1.0,0.0,4592131287506.333,11,5.8,1999년 09월 17일,90000000.0,서울 서초구 효령로 346,127.0219157,37.4863203,2.0,산업재,71909701899.33333
164830,HD한국조선해양,0.7950693374422187,0.2049306625577812,15899686564000.0,649,5.9,1973년 12월 28일,63631089.0,"경기 성남시 분당구 분당수서로 477, 정자동, HD현대그룹 글로벌 R&D센터",127.1061126,37.3769312,1.0,산업재,-555336412000.0
344287,HD현대인프라코어,0.9194915254237288,0.08050847457627118,4445960881694.667,2832,11.9,2000년 10월 25일,95464336.0,인천 동구 인중로 489,126.6277788,37.488806,4.0,산업재,287166441229.0
299002,HL홀딩스,0.803921568627451,0.19607843137254902,1018020707262.3334,255,5.19,,90780392.0,경기 용인시 기흥구 기흥단지로 46,127.1043868,37.2245807,,경기소비재,69161051905.0
164645,HMM,0.7914183551847438,0.20858164481525626,12930062666666.666,1678,7.01,1976년 03월 25일,104375104.0,"서울 영등포구 여의대로 108, 26층",126.9281499,37.5262068,0.0,산업재,6103286000000.0
572905,ISC,1.0,0.0,148436849128.0,206,5.65,2001년 02월 22일,59407767.0,경기 성남시 수정구 금토로40번길 26,127.0911847,37.4078863,3.0,IT,37159025947.0
149947,JW중외제약,0.7680672268907563,0.2319327731092437,612757250607.3334,1190,8.23,,56984874.0,경기 과천시 7길 과천대로 38,126.9876218,37.4291929,,의료,30945912694.0
